,Name,RA (deg),DEC (deg),Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,CLASS2
2183,4FGL J0912.5+1556 ,138.137,138.137,13.148791,5191.86,2.599342e-10,3.1896532e-12,1.0945039e-14,1.809519,9.942135e-15,1.8517544,-0.03990261,0.9313642,1.046812e-14,1.859019,-0.021872342,0.6666667,0.73236406,281.3836,19.747353,0.43931633,bll  ,          
2184,4FGL J0912.9-2102 ,138.2274,138.2274,31.68894,3566.18,1.0177338e-09,1.2193272e-11,8.409345e-14,1.8426971,8.50434e-14,1.8354377,0.006596612,0.34089765,8.550138e-14,1.818116,0.011326734,0.6666667,0.8304832,1118.5294,13.295922,0.05376394,bll  ,          
2185,4FGL J0913.3+8133 ,138.3463,138.3463,8.466271,6781.3623,8.9547474e-11,1.1567042e-12,2.435675e-15,1.748746,3.0324667e-15,1.6413875,0.1269512,1.4487146,2.9888246e-15,1.5421618,0.18831669,0.6666667,1.7422941,144.1887,16.613857,0.44686425,bll  ,          
2186,4FGL J0914.1-0202 ,138.5482,138.5482,6.0659547,2073.3782,1.5844391e-10,1.9130112e-12,3.857683e-14,2.292939,3.588517e-14,2.3136847,-0.04685866,0.7692853,3.8103347e-14,2.3152058,-0.013450247,0.6666667,0.29902232,325.45023,8.707046,0.0,bcu  ,          
2187,4FGL J0914.4+0249 ,138.6124,138.6124,6.5577326,796.4727,1.6252558e-10,2.9121935e-12,4.8940355e-13,2.648226,4.390027e-13,2.657987,-0.06964292,1.3275281,4.78617e-13,2.6856372,-0.021956347,0.6666667,1.0659246,622.18024,18.282337,0.42730072,fsrq ,          
2188,4FGL J0914.5+6845 ,138.6465,138.6465,8.556948,4379.233,1.3809341e-10,1.5721595e-12,7.501788e-15,1.9376576,7.769715e-15,1.9056067,0.024012748,0.36591285,7.877079e-15,1.8604705,0.04345163,0.6666667,0.7379041,254.71619,14.916661,0.30620015,     ,          
2189,4FGL J0914.8+5846 ,138.7025,138.7025,7.897633,2381.9553,1.4836857e-10,1.0121358e-12,2.4013648e-14,2.0735922,3.075269e-14,1.7692671,0.25839007,2.2074332,2.9914656e-14,1.635363,0.38969183,0.6666667,2.5813434,159.4995,14.112904,0.16662602,bll  ,          
2190,4FGL J0915.4-3027 ,138.875,138.875,11.788227,1378.6625,4.5163467e-10,3.834372e-12,2.4276832e-13,2.267917,2.9208553e-13,2.187087,0.13480093,2.6453207,2.785771e-13,2.1140625,0.16261733,0.6666667,2.6092932,662.2523,34.31191,0.55315757,bcu  ,          
2191,4FGL J0915.9+2933 ,138.9862,138.9862,58.272255,1389.6675,2.0724025e-09,1.9493214e-11,9.214754e-13,1.8823161,1.0080018e-12,1.738968,0.08129238,5.4573894,9.648544e-13,1.7447331,0.05823283,0.6666667,5.668624,2145.838,32.44626,0.15915811,bll  ,          
2192,4FGL J0916.7+3856 ,139.1898,139.1898,19.191565,774.97754,4.622508e-10,4.9884936e-12,1.1666503e-12,2.4406798,1.2824275e-12,2.3211648,0.11772061,2.4520893,1.2275581e-12,2.331278,0.09534053,0.6666667,2.0814164,1197.8387,58.352097,0.55416095,fsrq ,          
2193,4FGL J0916.7+5238 ,139.1906,139.1906,10.81114,3680.286,1.444595e-10,1.3874432e-12,1.0988563e-14,1.829065,1.4107671e-14,1.5802271,0.20161933,2.4595022,1.3420001e-14,1.5019779,0.24804536,0.6666667,2.6880093,124.25384,13.65996,0.18747807,bll  ,          
2194,4FGL J0916.9+7756 ,139.2391,139.2391,6.431907,1905.6229,1.01384366e-10,1.1738686e-12,2.9673113e-14,2.223694,3.2845668e-14,2.1444037,0.078585215,0.67130846,3.1248177e-14,2.1372461,0.060429353,0.6666667,0.67790234,310.27985,12.3249,0.0,     ,          
2195,4FGL J0917.1-2131 ,139.2826,139.2826,4.620077,2263.753,1.300709e-10,1.5804379e-12,2.58779e-14,2.3018193,2.9082578e-14,2.2879694,0.062943056,0.6061225,2.7546457e-14,2.2543468,0.04806989,0.6666667,0.4727243,280.3681,12.167481,0.0,fsrq ,          
2196,4FGL J0917.3-0342 ,139.3339,139.3339,7.8143764,9063.3545,1.1881962e-10,1.662007e-12,2.1021357e-15,1.6697866,2.5600417e-15,1.5234114,0.12346462,1.2000176,2.4471705e-15,1.4770589,0.12398931,0.6666667,1.296366,105.3602,11.959253,0.0,bll  ,          
2197,4FGL J0917.9-4755 ,139.4778,139.4778,9.528135,1180.3075,1.0154354e-09,1.2293557e-11,8.6461925e-13,2.6232004,1.3277518e-12,2.8890147,0.38923332,4.5670023,1.3770782e-12,2.8147678,1.0645185,0.6666667,4.1630726,1487.3014,13.423896,0.16018395,     ,unk       
2198,4FGL J0918.5+3516 ,139.6452,139.6452,4.9680133,2821.607,9.927447e-11,4.5585096e-13,1.0033517e-14,2.260881,2.0124676e-14,1.9486367,0.9973468,2.9017656,2.3388709e-14,1.5255692,3.0592334,0.6666667,3.1269364,59.46453,10.158696,0.0,     ,agn       
2199,4FGL J0918.9-0625 ,139.7281,139.7281,6.8595867,1189.1718,2.0198171e-10,1.4685276e-12,1.447523e-13,2.2905421,1.9418313e-13,2.156264,0.26223835,2.0212448,1.7679377e-13,2.1165404,0.2673959,0.6666667,1.6334332,266.78864,21.504345,0.5646432,bcu  ,          
2200,4FGL J0918.9-4904c,139.737,139.737,5.2324667,691.33014,3.7365994e-10,7.695966e-12,1.6466572e-12,2.713529,4.1393902e-12,3.0355704,0.9011411,4.3153825,4.107935e-12,2.887981,1.9939663,0.6666667,4.1372743,937.5333,2.4609082,0.0,     ,          
2201,4FGL J0919.3+6607 ,139.8421,139.8421,8.065928,3673.733,1.5552733e-10,1.7326012e-12,1.15589775e-14,2.0191612,1.25388845e-14,1.9421773,0.062040176,0.73396987,1.28164504e-14,1.8384452,0.1295086,0.6666667,1.323174,313.00525,14.154079,0.0,     ,          
2202,4FGL J0919.3-2202 ,139.8482,139.8482,4.3340263,6913.27,8.4737314e-11,1.0156976e-12,2.0687956e-15,1.8420042,2.635484e-15,1.7216332,0.15957464,1.1222432,2.4833166e-15,1.670381,0.16345817,0.6666667,0.97394,95.32497,10.12439,0.0,bcu  ,          
2203,4FGL J0919.5-6203 ,139.8875,139.8875,9.098243,2141.4255,3.3911404e-10,1.6668191e-12,5.751636e-14,2.223087,9.642928e-14,1.9947363,0.56682,4.524017,9.487317e-14,1.8501511,0.95197654,0.6666667,4.6146674,294.1988,7.2069826,0.0,     ,          
2204,4FGL J0920.2-3835 ,140.0695,140.0695,5.1391387,3774.7295,1.6259583e-10,1.8223992e-12,1.0872872e-14,2.136691,1.0579795e-14,2.1325533,-0.010402242,0.13029619,1.09481406e-14,2.1159246,0.011656492,0.6666667,0.1309207,247.2267,8.595813,0.0,bcu  ,          
